# Label AI GFLOPS Version
Tiled_Halo 0.048490 37.3839 Tiled_Halo
Cfame 0.020323 6.3759 Cfame
Tiled 0.046165 40.5526 Tiled
Cfamo 0.020988 6.6092 Cfamo
Global 0.042857 42.5821 Global
